subject_id,status,error
Pitt_0050003,skipped,
Pitt_0050004,skipped,
Pitt_0050005,skipped,
Pitt_0050006,skipped,
Pitt_0050007,skipped,
Pitt_0050008,skipped,
Pitt_0050009,skipped,
Pitt_0050010,skipped,
Pitt_0050012,skipped,
Pitt_0050014,skipped,
Pitt_0050015,skipped,
Pitt_0050013,skipped,
Pitt_0050011,skipped,
Pitt_0050016,skipped,
Pitt_0050017,skipped,
Pitt_0050022,skipped,
Pitt_0050019,skipped,
Pitt_0050024,skipped,
Pitt_0050023,skipped,
Pitt_0050020,skipped,
Pitt_0050025,skipped,
Pitt_0050026,skipped,
Pitt_0050028,skipped,
Pitt_0050027,skipped,
Pitt_0050031,skipped,
Pitt_0050030,skipped,
Pitt_0050029,skipped,
Pitt_0050032,skipped,
Pitt_0050033,skipped,
Pitt_0050035,skipped,
Pitt_0050034,skipped,
Pitt_0050036,skipped,
Pitt_0050038,skipped,
Pitt_0050037,skipped,
Pitt_0050039,skipped,
Pitt_0050040,skipped,
Pitt_0050041,skipped,
Pitt_0050042,skipped,
Pitt_0050043,skipped,
Pitt_0050045,skipped,
Pitt_0050044,skipped,
Pitt_0050046,skipped,
Pitt_0050049,skipped,
Pitt_0050048,skipped,
Pitt_0050051,skipped,
Pitt_0050047,skipped,
Pitt_0050050,skipped,
Pitt_0050053,skipped,
Pitt_0050052,skipped,
Pitt_0050055,skipped,
Pitt_0050054,skipped,
Pitt_0050056,skipped,
Pitt_0050058,skipped,
Pitt_0050057,skipped,
Pitt_0050059,skipped,
Pitt_0050060,skipped,
Olin_0050104,skipped,
Olin_0050102,skipped,
Olin_0050105,skipped,
Olin_0050103,skipped,
Olin_0050107,skipped,
Olin_0050106,skipped,
Olin_0050109,skipped,
Olin_0050110,skipped,
Olin_0050113,skipped,
Olin_0050111,skipped,
Olin_0050115,skipped,
Olin_0050112,skipped,
Olin_0050114,skipped,
Olin_0050116,skipped,
Olin_0050117,skipped,
Olin_0050118,skipped,
Olin_0050119,skipped,
Olin_0050122,skipped,
Olin_0050120,skipped,
Olin_0050121,skipped,
Olin_0050123,skipped,
Olin_0050125,skipped,
Olin_0050126,skipped,
Olin_0050124,skipped,
Olin_0050127,skipped,
Olin_0050128,skipped,
Olin_0050130,skipped,
Olin_0050132,skipped,
Olin_0050131,skipped,
Olin_0050129,skipped,
Olin_0050133,skipped,
Olin_0050135,skipped,
Olin_0050134,skipped,
Olin_0050136,skipped,
OHSU_0050142,skipped,
OHSU_0050143,skipped,
OHSU_0050144,skipped,
OHSU_0050145,skipped,
OHSU_0050147,skipped,
OHSU_0050148,skipped,
OHSU_0050146,skipped,
OHSU_0050149,skipped,
OHSU_0050152,skipped,
OHSU_0050156,skipped,
OHSU_0050153,skipped,
OHSU_0050150,skipped,
OHSU_0050157,skipped,
OHSU_0050159,skipped,
OHSU_0050158,skipped,
OHSU_0050160,skipped,
OHSU_0050161,skipped,
OHSU_0050162,skipped,
OHSU_0050164,skipped,
OHSU_0050163,skipped,
OHSU_0050167,skipped,
OHSU_0050168,skipped,
OHSU_0050166,skipped,
OHSU_0050169,skipped,
OHSU_0050170,skipped,
OHSU_0050171,skipped,
SDSU_0050182,skipped,
SDSU_0050183,skipped,
SDSU_0050184,skipped,
SDSU_0050186,skipped,
SDSU_0050185,skipped,
SDSU_0050189,skipped,
SDSU_0050188,skipped,
SDSU_0050187,skipped,
SDSU_0050190,skipped,
SDSU_0050191,skipped,
SDSU_0050192,skipped,
SDSU_0050194,skipped,
SDSU_0050193,skipped,
SDSU_0050196,skipped,
SDSU_0050197,skipped,
SDSU_0050195,skipped,
SDSU_0050199,skipped,
SDSU_0050201,skipped,
SDSU_0050200,skipped,
SDSU_0050198,skipped,
SDSU_0050202,skipped,
SDSU_0050204,skipped,
SDSU_0050203,skipped,
SDSU_0050205,skipped,
SDSU_0050206,skipped,
SDSU_0050207,skipped,
SDSU_0050209,skipped,
SDSU_0050210,skipped,
SDSU_0050208,skipped,
SDSU_0050211,skipped,
SDSU_0050212,skipped,
SDSU_0050214,skipped,
SDSU_0050213,skipped,
SDSU_0050215,skipped,
Trinity_0050232,skipped,
SDSU_0050216,skipped,
