feature,orig_variance,harm_variance,retention,status
Subcortical_beta_peak,0.004200244789461568,6.802439896755317e-07,0.00016195341552051128,low
Frontal_Superior_beta_peak,0.004434188610387594,1.0126850331141047e-06,0.0002283811362335319,low
Parietal_beta_peak,0.004436363628231517,1.0719130816736804e-06,0.00024161975245951174,low
Cingulate_beta_peak,0.0030818585916788733,1.0451835009534697e-06,0.0003391406418761399,low
Occipital_beta_peak,0.004436912187561266,1.670455052578251e-06,0.00037649044695121876,low
Limbic_beta_peak,0.004434134776966971,2.1083742799575208e-06,0.0004754871888219165,low
Temporal_beta_peak,0.0030735595675110646,1.9296639263677242e-06,0.0006278270793138866,low
Cerebellum_beta_peak,0.004377965564725127,6.324221445933302e-06,0.0014445571470204953,low
Insula_beta_peak,0.00443242611565579,8.08587302114585e-06,0.0018242544399297948,low
Brainstem_beta_peak,0.0011079328146593982,2.355699951212904e-06,0.0021262119146972787,low
Frontal_Orbital_beta_peak,0.004403354330004018,1.1907200056761751e-05,0.0027041203510758324,low
Motor_Premotor_beta_peak,0.004380691197499655,1.5816863827310496e-05,0.003610586346816276,low
Subcortical_autocorr,0.012050746962493992,0.0003332358439351641,0.027652712729950013,low
Subcortical_phase_std,0.024806869706537633,0.0011724284449249368,0.04726224867525118,low
Frontal_Superior_autocorr,0.009931256756217073,0.0005971229592470481,0.06012561893269376,low
Limbic_autocorr,0.010689129012474381,0.0006461444738581037,0.06044874873378766,low
Cerebellum_autocorr,0.012546852959608074,0.0007938131875464531,0.06326791189009434,low
Cingulate_autocorr,0.007410126481262082,0.0004780400627325045,0.0645117278283063,low
Temporal_autocorr,0.00744750430012331,0.0005034179368786562,0.06759552147829186,low
Subcortical_spectral_entropy,0.03708652249538566,0.0027753460014621326,0.07483435530541975,low
Parietal_autocorr,0.009196792067283275,0.0006970413526700999,0.07579179213475523,low
Occipital_autocorr,0.010204589897783273,0.001004209271614469,0.0984076069370129,low
Frontal_Superior_phase_std,0.02574826575277204,0.0025719530824991465,0.09988840053129605,low
Cerebellum_phase_std,0.03594447634660053,0.003637682230099161,0.10120281611622912,low
Brainstem_autocorr,0.003952941900549389,0.000406433691461926,0.10281802811355231,low
Insula_autocorr,0.012471729775386096,0.0013403753210293363,0.1074730887510623,low
Limbic_phase_std,0.026997794629593168,0.0029331827727560023,0.10864527317875233,low
Temporal_phase_std,0.018640800596555283,0.0021486234048657166,0.11526454530406652,low
Cingulate_phase_std,0.01878346605138313,0.002174866462964382,0.11578621629335735,low
Parietal_phase_std,0.025572124865478444,0.0030276727680728414,0.1183973871549526,low
Brainstem_theta_power,0.7907653897300124,0.09543819849421838,0.12069091507255196,low
Frontal_Superior_spectral_entropy,0.03908434142353962,0.004936644709174396,0.12630748093406957,low
Limbic_spectral_entropy,0.0409273945165508,0.005476138639914736,0.13380130117249994,low
Cingulate_spectral_entropy,0.027199743640001082,0.0036915584066864538,0.13572033823353738,low
Temporal_spectral_entropy,0.02865879268398086,0.003944910734926732,0.1376509742900573,low
Frontal_Orbital_autocorr,0.011748847997318406,0.0016247633546780525,0.1382912907758185,low
Brainstem_alpha_power,0.8461008275688676,0.11899451544082987,0.1406386940699977,low
Parietal_spectral_entropy,0.03918366586956819,0.005520293456464111,0.14088251657820056,low
Cerebellum_spectral_entropy,0.06054050576941524,0.008693406147264608,0.14359652329922346,low
Brainstem_delta_power,0.973615846842436,0.1412863514942303,0.14511509026115432,low
Occipital_phase_std,0.026840575883196906,0.0040786717567657385,0.1519591745912994,low
Motor_Premotor_autocorr,0.010677288035906642,0.0017368683224571445,0.16266942660123354,low
Insula_phase_std,0.03321597870900562,0.005738290334809334,0.17275692476445234,low
Insula_spectral_entropy,0.054390995546382034,0.009472769466857172,0.17416061926609244,low
Occipital_spectral_entropy,0.040352034371411,0.007519798172866149,0.18635487132202305,low
Frontal_Orbital_phase_std,0.03799848544640716,0.007283107299011763,0.19166835765819704,low
Brainstem_phase_std,0.008368989165317874,0.0016941521307055737,0.20243210945072668,low
Brainstem_spectral_entropy,0.01251748876857546,0.0026203777153177045,0.2093373330516608,low
Frontal_Orbital_spectral_entropy,0.061323745618549745,0.014030804448259472,0.22879888217420483,low
Subcortical_psd,0.8812935146886286,0.21509986515211504,0.2440729014420495,low
Brainstem_beta_power,3.3543278723933654e-11,8.298615291104228e-12,0.24740024251663378,low
Motor_Premotor_phase_std,0.03395862506011403,0.008536961688772793,0.25139303118605494,low
Insula_beta_power,3.2483696810641544e-12,8.591999030513256e-13,0.264501884763884,low
