epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9852,1.75209,2.11724,1.89689,0.2512,0.00753,0.00027,4e-05,4.78876,39.2711,21.2774,0.0702521,0.00330532,0.00330532
2,52.8376,1.45176,1.38907,1.6183,0.05506,0.06242,0.02228,0.00597,3.14509,6.26126,4.76846,0.0402505,0.00663703,0.00663703
3,72.2853,1.29256,1.14352,1.47821,0.00228,0.00082,9e-05,4e-05,4.19645,8.23784,5.08016,0.0102424,0.00996225,0.00996225
4,91.4411,1.15516,0.97221,1.38626,0.70086,0.41322,0.53319,0.2997,1.74158,1.99139,2.29292,0.00997803,0.00997803,0.00997803
5,110.707,1.08436,0.88308,1.32145,0.73223,0.14264,0.19756,0.10968,2.51298,3.00631,4.01136,0.00996097,0.00996097,0.00996097
6,129.856,1.00515,0.78359,1.26995,0.84004,0.0402,0.05849,0.0323,3.06483,4.29023,4.87389,0.00993906,0.00993906,0.00993906
7,149.104,0.97259,0.74614,1.25511,0.47203,0.27512,0.28781,0.15761,2.6927,2.21239,4.22634,0.00991232,0.00991232,0.00991232
8,168.518,0.96303,0.73452,1.24815,0.90177,0.11733,0.15138,0.08901,2.88088,5.49657,4.85283,0.00988079,0.00988079,0.00988079
9,188.059,0.94603,0.6963,1.2222,0.61894,0.1099,0.14563,0.07538,3.00176,3.61687,5.19251,0.00984449,0.00984449,0.00984449
10,207.122,0.87736,0.66334,1.19248,0.91605,0.89237,0.93322,0.57484,1.40779,0.80508,2.06664,0.00980345,0.00980345,0.00980345
11,226.24,0.89847,0.65761,1.19915,0.76079,0.39074,0.49344,0.25077,2.13622,2.05154,3.31386,0.00975773,0.00975773,0.00975773
12,245.441,0.86437,0.62152,1.18235,0.97743,0.98239,0.99208,0.75518,0.89041,0.52731,1.37661,0.00970736,0.00970736,0.00970736
13,264.758,0.84857,0.60985,1.17057,0.5136,0.05109,0.07171,0.0436,3.22463,4.23601,5.57798,0.00965239,0.00965239,0.00965239
14,284.145,0.82762,0.59555,1.15503,0.98373,0.98107,0.99401,0.83706,0.68235,0.44315,1.20977,0.00959289,0.00959289,0.00959289
15,303.489,0.80321,0.56854,1.14453,0.98375,0.97295,0.98133,0.81,0.73763,0.44625,1.24198,0.00952889,0.00952889,0.00952889
16,322.846,0.80385,0.56693,1.14147,0.98237,0.99277,0.99247,0.85456,0.62405,0.4037,1.16764,0.00946048,0.00946048,0.00946048
17,342.181,0.78824,0.54787,1.12965,0.991,0.99436,0.9948,0.86682,0.6127,0.36796,1.15704,0.00938772,0.00938772,0.00938772
18,361.547,0.76158,0.5264,1.11781,0.63809,0.03799,0.0592,0.03224,3.21553,3.884,5.4436,0.00931067,0.00931067,0.00931067
19,380.919,0.79078,0.53876,1.13637,0.69339,0.45193,0.57989,0.35071,1.83468,1.3955,2.72786,0.00922942,0.00922942,0.00922942
20,400.28,0.7514,0.51836,1.11645,0.99435,0.99425,0.99491,0.89026,0.52958,0.32295,1.09554,0.00914405,0.00914405,0.00914405
21,419.639,0.75227,0.52184,1.11832,0.78839,0.6522,0.78554,0.51079,1.37218,0.99685,1.92732,0.00905463,0.00905463,0.00905463
22,439.037,0.73469,0.49907,1.10465,0.99286,0.99176,0.99449,0.88065,0.53139,0.32698,1.10114,0.00896127,0.00896127,0.00896127
23,458.313,0.7328,0.50834,1.10655,0.99514,0.98789,0.99447,0.84072,0.6661,0.35286,1.18283,0.00886404,0.00886404,0.00886404
24,477.464,0.71365,0.48399,1.0968,0.97935,0.09929,0.13045,0.09598,2.66359,3.61117,4.53881,0.00876305,0.00876305,0.00876305
25,496.705,0.7147,0.48225,1.09404,0.97422,0.99168,0.99046,0.87698,0.55065,0.33161,1.11549,0.00865839,0.00865839,0.00865839
26,515.846,0.70373,0.47604,1.09007,0.65456,0.13932,0.19021,0.11982,2.82602,2.94435,5.76138,0.00855018,0.00855018,0.00855018
27,534.99,0.71254,0.47884,1.09239,0.98504,0.99169,0.99346,0.87482,0.55661,0.31899,1.09545,0.00843851,0.00843851,0.00843851
28,554.102,0.68457,0.46551,1.08017,0.98984,0.99497,0.99298,0.89418,0.52717,0.32385,1.07434,0.00832349,0.00832349,0.00832349
29,573.212,0.67525,0.4572,1.07044,0.99387,0.99052,0.9948,0.88934,0.53305,0.31116,1.07031,0.00820525,0.00820525,0.00820525
30,592.326,0.66967,0.45124,1.06981,0.98891,0.99092,0.99439,0.85909,0.64226,0.34616,1.21414,0.00808389,0.00808389,0.00808389
